,mensaje,sentimiento
0,Most automated sentiment analysis tools are shit.,-0.5574
1,VADER sentiment analysis is the shit.,0.6124
2,Sentiment analysis has never been good.,-0.3412
3,Sentiment analysis with VADER has never been this good.,0.5228
4,Warren Beatty has never been so entertaining.,0.5777
5,I won't say that the movie is astounding and I wouldn't claim that the movie is too banal either.,0.4215
6,I like to hate Michael Bay films but I couldn't fault this one,0.3153
7,"It's one thing to watch an Uwe Boll film but another thing entirely 
to pay for it",-0.2541
8,The movie was too good,0.4404
9,This movie was actually neither that funny nor super witty.,-0.6759
10,This movie doesn't care about cleverness wit or any other kind of  intelligent humor.,-0.1338
11,Those who find ugly meanings in beautiful things are corrupt without  being charming.,-0.3553
12,There are slow and repetitive parts BUT it has just enough spice to  keep it interesting.,0.4678
13,The script is not fantastic but the acting is decent and the cinematography  is EXCELLENT!,0.7565
14,Roger Dodger is one of the most compelling variations on this theme.,0.2944
15,Roger Dodger is one of the least compelling variations on this theme.,-0.1695
16,Roger Dodger is at least compelling as a variation on the theme.,0.2263
17,they fall in love with the product,0.6369
18,but then it breaks,0.0
19,usually around the time the 90 day warranty expires,0.0
20,the twin towers collapsed today,-0.2732
21,However Mr. Carter solemnly argues his client carried out the kidnapping  under orders and in the ''least offensive way possible.'',-0.5859
